id,title,price,currency_id,available_quantity,condition,permalink,thumbnail_id,shipping.free_shipping
MLA1398793543,Google Home Mini Con Asistente Virtual Google Assistant Ref,51213.5,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1398793543-google-home-mini-con-asistente-virtual-google-assistant-ref-_JM,http://http2.mlstatic.com/D_670900-MLA73392967607_122023-I.jpg,True
MLA930506223,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,17000,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-930506223-soporte-montaje-embutido-pared-google-home-hub-mountgenie-_JM,http://http2.mlstatic.com/D_765698-MLA46838404907_072021-I.jpg,False
MLA1597457958,Google Home Mini Con Asistente Virtual  Charcoal Refabricado,49999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1597457958-google-home-mini-con-asistente-virtual-charcoal-refabricado-_JM,http://http2.mlstatic.com/D_749611-MLA73410630481_122023-I.jpg,True
MLA1392445767,Google Home Mini Asistente Virtual Bulk Sin Caja Original +,88499,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1392445767-google-home-mini-asistente-virtual-bulk-sin-caja-original--_JM,http://http2.mlstatic.com/D_660365-MLA72222466224_102023-I.jpg,True
MLA1384134643,Google Home Mini Versión Bulk/ Sin Caja/ Cargador Original!,58588,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1384134643-google-home-mini-version-bulk-sin-caja-cargador-original-_JM,http://http2.mlstatic.com/D_793296-MLA71226340581_082023-I.jpg,True
MLA873646326,Google Home Mini Asistente Virtual Bulk - Sin Caja - Oferta!,58585,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-873646326-google-home-mini-asistente-virtual-bulk-sin-caja-oferta-_JM,http://http2.mlstatic.com/D_858772-MLA43168430717_082020-I.jpg,True
MLA873351413,Google Home Mini Asistente Virtual Bulk - Sin Caja - Envío ,56994,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-873351413-google-home-mini-asistente-virtual-bulk-sin-caja-envio-_JM,http://http2.mlstatic.com/D_858772-MLA43168430717_082020-I.jpg,True
MLA1597677282,Parlante Google Home Mini Asistente Virtual Wifi Refabricado,63926.14,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1597677282-parlante-google-home-mini-asistente-virtual-wifi-refabricado-_JM,http://http2.mlstatic.com/D_796916-MLA73322349956_122023-I.jpg,True
MLA1392498187,Google Home Mini Asistente Virtual Bulk Bolsa Nuevo Gtia +,88499,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1392498187-google-home-mini-asistente-virtual-bulk-bolsa-nuevo-gtia--_JM,http://http2.mlstatic.com/D_891716-MLA72222350978_102023-I.jpg,True
MLA873351456,Google Home Mini Asistente - Bulk - Sin Caja - Fuente 220v ,58587,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-873351456-google-home-mini-asistente-bulk-sin-caja-fuente-220v-_JM,http://http2.mlstatic.com/D_858772-MLA43168430717_082020-I.jpg,True
